iter	Passed	Remaining
0	0	211
1	1	190
2	1	188
3	2	184
4	3	179
5	3	174
6	4	170
7	4	171
8	5	170
9	5	171
10	6	170
11	7	168
12	7	167
13	8	165
14	8	164
15	9	164
16	9	164
17	10	163
18	10	162
19	11	161
20	12	161
21	12	159
22	13	159
23	13	159
24	14	158
25	14	157
26	15	156
27	16	155
28	16	155
29	17	155
30	17	154
31	18	153
32	18	152
33	19	152
34	20	152
35	20	151
36	21	151
37	21	150
38	22	150
39	23	149
40	23	149
41	24	148
42	24	147
43	25	147
44	25	146
45	26	145
46	26	145
47	27	144
48	28	143
49	28	142
50	29	142
51	29	141
52	30	140
53	30	140
54	31	139
55	31	138
56	32	138
57	32	137
58	33	137
59	34	136
60	34	136
61	35	135
62	35	134
63	36	134
64	37	133
65	37	133
66	38	132
67	38	131
68	39	131
69	39	130
70	40	129
71	40	129
72	41	129
73	42	128
74	42	127
75	43	127
76	43	126
77	44	126
78	45	126
79	45	125
80	46	124
81	46	124
82	47	123
83	47	123
84	48	122
85	49	122
86	49	121
87	50	120
88	50	120
89	51	119
90	51	119
91	52	118
92	53	118
93	53	117
94	54	116
95	54	116
96	55	115
97	55	114
98	56	114
99	56	113
100	57	113
101	57	112
102	58	111
103	59	111
104	59	110
105	60	110
106	60	109
107	61	108
108	61	108
109	62	107
110	62	107
111	63	106
112	64	105
113	64	105
114	65	104
115	65	104
116	66	103
117	66	102
118	67	102
119	67	101
120	68	101
121	68	100
122	69	99
123	69	99
124	70	98
125	71	98
126	71	97
127	72	96
128	72	96
129	73	95
130	73	95
131	74	94
132	74	93
133	75	93
134	75	92
135	76	92
136	77	91
137	77	91
138	78	90
139	78	89
140	79	89
141	79	88
142	80	88
143	80	87
144	81	87
145	81	86
146	82	85
147	83	85
148	83	84
149	84	84
150	84	83
151	85	83
152	85	82
153	86	81
154	87	81
155	87	80
156	88	80
157	88	79
158	89	79
159	89	78
160	90	77
161	90	77
162	91	76
163	91	76
164	92	75
165	93	75
166	93	74
167	94	73
168	94	73
169	95	72
170	95	72
171	96	71
172	96	71
173	97	70
174	98	70
175	98	69
176	99	68
177	99	68
178	100	67
179	100	67
180	101	66
181	101	66
182	102	65
183	102	64
184	103	64
185	104	63
186	104	63
187	105	62
188	105	62
189	106	61
190	106	61
191	107	60
192	108	59
193	108	59
194	109	58
195	109	58
196	110	57
197	110	57
198	111	56
199	111	55
200	112	55
201	113	54
202	113	54
203	114	53
204	114	53
205	115	52
206	115	52
207	116	51
208	116	50
209	117	50
210	118	49
211	118	49
212	119	48
213	119	48
214	120	47
215	120	46
216	121	46
217	122	45
218	122	45
219	123	44
220	124	44
221	124	43
222	125	43
223	125	42
224	126	42
225	126	41
226	127	40
227	127	40
228	128	39
229	129	39
230	129	38
231	130	38
232	130	37
233	131	37
234	131	36
235	132	35
236	132	35
237	133	34
238	133	34
239	134	33
240	135	33
241	135	32
242	136	31
243	136	31
244	137	30
245	137	30
246	138	29
247	139	29
248	139	28
249	140	28
250	140	27
251	141	26
252	141	26
253	142	25
254	142	25
255	143	24
256	144	24
257	144	23
258	145	23
259	145	22
260	146	21
261	146	21
262	147	20
263	148	20
264	148	19
265	149	19
266	150	18
267	151	18
268	152	17
269	152	16
270	153	16
271	153	15
272	154	15
273	155	14
274	155	14
275	156	13
276	157	13
277	157	12
278	158	11
279	158	11
280	159	10
281	159	10
282	160	9
283	161	9
284	161	8
285	162	7
286	162	7
287	163	6
288	164	6
289	164	5
290	165	5
291	165	4
292	166	3
293	167	3
294	167	2
295	168	2
296	168	1
297	169	1
298	169	0
299	170	0
