team,squad_value_eur_m,avg_player_value_eur_m,num_players,source_date,source
France,1520.0,57.7,26,2026-06-01,Transfermarkt
England,1360.0,52.3,26,2026-06-01,Transfermarkt
Spain,1220.0,46.9,26,2026-06-01,Transfermarkt
Portugal,1010.0,38.8,26,2026-06-01,Transfermarkt
Germany,947.0,36.4,26,2026-06-01,Transfermarkt
Brazil,912.0,35.1,26,2026-06-01,Transfermarkt
Argentina,880.0,33.8,26,2026-06-01,Transfermarkt
Netherlands,841.0,32.3,26,2026-06-01,Transfermarkt
Belgium,598.0,23.0,26,2026-06-01,Transfermarkt
Colombia,544.0,20.9,26,2026-06-01,Transfermarkt
Norway,521.0,20.0,26,2026-06-01,Transfermarkt
Croatia,412.0,15.8,26,2026-06-01,Transfermarkt
Switzerland,398.0,15.3,26,2026-06-01,Transfermarkt
USA,389.0,15.0,26,2026-06-01,Transfermarkt
Morocco,341.0,13.1,26,2026-06-01,Transfermarkt
Canada,298.0,11.5,26,2026-06-01,Transfermarkt
Mexico,271.0,10.4,26,2026-06-01,Transfermarkt
Uruguay,245.0,9.4,26,2026-06-01,Transfermarkt
Japan,221.0,8.5,26,2026-06-01,Transfermarkt
Egypt,182.0,7.0,26,2026-06-01,Transfermarkt
Senegal,298.0,11.5,26,2026-06-01,Transfermarkt
Paraguay,134.0,5.2,26,2026-06-01,Transfermarkt
